"id","namn","nyval_tillatet","adresser.adressid","adresser.adressrad","adresser.postnummer","adresser.postort","adresser.koordinater.latitud","adresser.koordinater.longitud","adresser.koordinater.north","adresser.koordinater.east","datum"
10072120,"Manpower Matchning AB",FALSE,331770,Södermalmsallén 36,11828,Stockholm,59.313198,18.0696,6578954,674711,"2023-11-29"
10072121,"Manpower Matchning AB",FALSE,331771,Sollentunavägen 63,19140,Sollentuna,59.412487,17.967579,6589740,668414,"2023-11-29"
10072122,"Manpower Matchning AB",FALSE,331779,S:t Persgatan 17,75321,Uppsala,59.860435,17.639866,6638814,647839,"2023-11-29"
10072123,"Manpower Matchning AB",FALSE,331773,Vasagatan 8,90329,Umeå,63.824978,20.266058,7088202,758961,"2023-11-29"
10072124,"Manpower Matchning AB",FALSE,331774,Prästgatan 48,83133,Östersund,63.175007,14.637174,7005140,481732,"2023-11-29"
10072125,"Manpower Matchning AB",FALSE,331775,Strandgatan 15B,89133,Örnsköldsvik,63.286617,18.718111,7022929,686405,"2023-11-29"
10072126,"Manpower Matchning AB",FALSE,336347,Torggatan 1,72215,Västerås,59.610394,16.544077,6609036,587131,"2023-11-29"
10072126,"Manpower Matchning AB",FALSE,331776,Stora Gatan 11,73131,Köping,59.51335,15.995889,6597638,556361,"2023-11-29"
10072127,"Manpower Matchning AB",FALSE,331777,Engelbrektsgatan 6,70212,Örebro,59.272762,15.214028,6570444,512199,"2023-11-29"
10072128,"Manpower Matchning AB",FALSE,331780,Fristadstorget 8,63220,Eskilstuna,59.371037,16.513536,6582346,586014,"2023-11-29"
10072129,"Manpower Matchning AB",FALSE,331781,Vallonvägen 15,61230,Finspång,58.707626,15.772645,6507755,544765,"2023-11-29"
10072129,"Manpower Matchning AB",FALSE,331782,Kristinagatan 34,60231,Norrköping,58.58785,16.19171,6494775,569281,"2023-11-29"
10072130,"Worktasker AB",FALSE,331783,Bäverns gränd 14,75319,Uppsala,59.856064,17.644722,6638339,648131,"2023-11-29"
10072131,"Cleverex Jobbförmedling & Utbildning AB",FALSE,331784,Smedjegatan 22,63220,Eskilstuna,59.369873,16.508902,6582210,585754,"2023-11-29"
10072132,"Cleverex Jobbförmedling & Utbildning AB",FALSE,331785,Vasagatan 20,72215,Västerås,59.610916,16.545694,6609096,587220,"2023-11-29"
